"","X.1","X","Y","BUS_STOP_N","BUS_ROOF_N","LOC_DESC","PLN_AREA_N","SUBZONE_N"
"1",1,15512.2941021564,37010.6732004861,"28521","B05","BLK 457","JURONG WEST","HONG KAH"
"2",2,14254.4932017445,33994.5468988001,"21319","B13","OPP TRACTOR RD","BOON LAY","TUKANG"
"3",3,36611.3272027676,42422.258196946,"65271","B08","OPP BLK 188","PUNGGOL","WATERWAY EAST"
"4",4,25905.2853974991,30474.2728990534,"10289","B08","OPP SIS BLDG","QUEENSTOWN","MARGARET DRIVE"
"5",5,6893.65299766265,35080.8715017752,"25509","B02","OPP WEE WEE HUP KEE","TUAS","TUAS NORTH"
"6",6,13181.8652976562,34607.5226003799,"22271","B01","JEBSEN \& JESSEN","JURONG WEST","KIAN TECK"
"7",7,30218.7520021531,31126.4870024464,"01013","B05","ST JOSEPH'S CH","ROCHOR","VICTORIA"
"8",8,18498.6032969352,35252.536897462,"28651","B01","OPP IMM BLDG","JURONG EAST","TOH GUAN"
"9",9,27758.8191011401,48291.2436032818,"58061","B31","AFT THE ASHRAM","SEMBAWANG","ADMIRALTY"
"10",10,35248.0195975892,35114.8859390073,"70071","B05","CYCLE & CARRIAGE","GEYLANG","KAMPONG UBI"
"11",11,24554.42040175,28837.5843994769,"15051","B20","ALEXANDRA PT","QUEENSTOWN","PASIR PANJANG 2"
"12",12,28715.5191967414,34715.2388001813,"51029","B14","OPP OLD POLICE ACADEMY","TOA PAYOH","TOA PAYOH CENTRAL"
"13",13,10662.1088007451,33838.9861023406,"24011","B26","ALLIED SIGNAL S'PORE","PIONEER","GUL CIRCLE"
"14",14,37437.3257996277,40211.6394973214,"73029","B26","OPP LP 223R10","PAYA LEBAR","PAYA LEBAR WEST"
"15",15,32131.7418974161,41104.7017015507,"67041","B28","AFT JLN KAYU","SENGKANG","FERNVALE"
"16",16,22955.2214025993,46140.7048990395,"46339","B03","BLK 370","WOODLANDS","WOODGROVE"
"17",17,13996.0025998297,35028.9786989082,"22431","B02","OPP PAR INVESTMENT","JURONG WEST","KIAN TECK"
"18",18,24082.1390988577,47571.1943970049,"46809","NIL","OPP WOODLANDS MART","WOODLANDS","WOODLANDS EAST"
"19",19,29300.1395008232,39804.0514003117,"54059","B08","BEF ANG MO KIO LIB","ANG MO KIO","ANG MO KIO TOWN CENTRE"
"20",20,22701.9592801773,31118.3633487387,"18129","B07","AYER RAJAH IND EST","QUEENSTOWN","ONE NORTH"
"21",21,24480.8103895879,46239.8822646371,"47551","B05","BLK 630","WOODLANDS","WOODLANDS EAST"
"22",22,33981.2780093883,35537.1870059848,"70291","B03","","TOA PAYOH","JOO SENG"
